accuracy,dice_coefficient,loss,val_accuracy,val_dice_coefficient,val_loss
0.7897922396659851,0.8299192190170288,0.44623708724975586,0.8686834573745728,0.825325608253479,0.4830907881259918
0.7890245318412781,0.8293381929397583,0.4487142860889435,0.873765230178833,0.8264203667640686,0.4780704379081726
0.789215087890625,0.830180823802948,0.44774967432022095,0.8719122409820557,0.8254132270812988,0.47536906599998474
0.7893043160438538,0.8304535150527954,0.4455623924732208,0.8700634837150574,0.8221657276153564,0.48491400480270386
0.788327157497406,0.8325861096382141,0.44358378648757935,0.871746838092804,0.8246177434921265,0.47530829906463623
0.7906119227409363,0.8316114544868469,0.44205179810523987,0.872880220413208,0.8181354999542236,0.479923814535141
0.7904627919197083,0.8308065533638,0.44487956166267395,0.8707122802734375,0.8188557624816895,0.48140040040016174
0.790971577167511,0.8319107890129089,0.4418257772922516,0.8710363507270813,0.8191057443618774,0.4855782687664032
0.7904397249221802,0.831291675567627,0.4426988363265991,0.8761834502220154,0.8310503363609314,0.4698924124240875
0.7871760129928589,0.8291918039321899,0.4513300657272339,0.8738604784011841,0.8262444138526917,0.4683193862438202
0.7662057876586914,0.7977930307388306,0.5344622731208801,0.8711212277412415,0.818025529384613,0.4828681945800781
0.7856131792068481,0.823027491569519,0.46369004249572754,0.8731762766838074,0.8262082934379578,0.4725381135940552
0.7903006672859192,0.8308135271072388,0.4445660710334778,0.8704412579536438,0.8255312442779541,0.4767170250415802
0.7895627617835999,0.8331367373466492,0.44127899408340454,0.8751879930496216,0.8258014917373657,0.4735783636569977
0.7929190397262573,0.8343351483345032,0.4356660842895508,0.872729480266571,0.8261575102806091,0.47333306074142456
0.7918172478675842,0.834903359413147,0.43581855297088623,0.8677294850349426,0.8220917582511902,0.4869126081466675
0.7921338081359863,0.8351685404777527,0.4341627359390259,0.8716852068901062,0.8233829736709595,0.48121941089630127
0.7912531495094299,0.8340994715690613,0.4385465979576111,0.8739013671875,0.8241230249404907,0.4745619595050812
0.7919790148735046,0.8326030969619751,0.43899306654930115,0.8729992508888245,0.8196260333061218,0.47781527042388916
0.7924473881721497,0.8350512385368347,0.435268372297287,0.8765600323677063,0.8277797102928162,0.4774686396121979
0.7916967868804932,0.8337417840957642,0.4371151030063629,0.8701861500740051,0.8233932852745056,0.4821873903274536
0.7941766381263733,0.8364254832267761,0.43010249733924866,0.8727368116378784,0.826239287853241,0.47510239481925964
0.7916713953018188,0.8346020579338074,0.43658649921417236,0.8751000761985779,0.8257768154144287,0.47621390223503113
0.7924122214317322,0.8336391448974609,0.4364892542362213,0.8742095828056335,0.825284481048584,0.47847652435302734
0.7941160798072815,0.8362752199172974,0.4297908544540405,0.8758801221847534,0.8294486403465271,0.4690787196159363
0.791246235370636,0.8339139819145203,0.4384014904499054,0.8748736381530762,0.8330079317092896,0.47151365876197815
0.7919228672981262,0.8345990180969238,0.43715909123420715,0.874375581741333,0.8243614435195923,0.4762905240058899
0.791081428527832,0.8341089487075806,0.43825969099998474,0.8733673095703125,0.8238258957862854,0.4785279929637909
0.7909603118896484,0.8325773477554321,0.4399261474609375,0.8751617670059204,0.8303938508033752,0.478672057390213
0.7925037741661072,0.8364039659500122,0.4319099187850952,0.8703967332839966,0.8248879909515381,0.4800560474395752
0.7934607863426208,0.836583137512207,0.43104681372642517,0.8724902272224426,0.8274425864219666,0.47641873359680176
0.7933497428894043,0.8358399271965027,0.43240052461624146,0.8741918802261353,0.8257327675819397,0.4749651253223419
0.7935777306556702,0.8374882936477661,0.42867016792297363,0.8718920946121216,0.8271821141242981,0.48159369826316833
0.7944022417068481,0.837364673614502,0.42894458770751953,0.8737787008285522,0.8244155049324036,0.4761818051338196
0.794924795627594,0.8368698358535767,0.4282241761684418,0.861482560634613,0.8208185434341431,0.5028692483901978
0.7921522259712219,0.8375676870346069,0.4310024678707123,0.8688769340515137,0.826085090637207,0.4838675260543823
0.7963734269142151,0.8378385305404663,0.4249424338340759,0.8753515481948853,0.8316275477409363,0.46872612833976746
0.7952199578285217,0.8386777639389038,0.4250103235244751,0.8771612644195557,0.8304972648620605,0.47359558939933777
0.7946241497993469,0.8380323648452759,0.42764928936958313,0.8728198409080505,0.8299210071563721,0.48156169056892395
0.7953616976737976,0.839013934135437,0.4247939884662628,0.8765972852706909,0.8294475078582764,0.46976226568222046
0.7931148409843445,0.8364817500114441,0.4319925308227539,0.8719378709793091,0.8300673365592957,0.48127925395965576
0.7936111092567444,0.8372370004653931,0.43039706349372864,0.8748449683189392,0.8320589661598206,0.4745100736618042
0.7964920401573181,0.839533805847168,0.4229243993759155,0.8764251470565796,0.8279324769973755,0.4702150225639343
0.7945439219474792,0.8377987146377563,0.4277513027191162,0.8770971894264221,0.8286243677139282,0.47079193592071533
0.795201301574707,0.8392877578735352,0.42471373081207275,0.874920666217804,0.8288211822509766,0.47324320673942566
0.7958062887191772,0.8387807607650757,0.4236932694911957,0.871732771396637,0.8249087333679199,0.48124754428863525
0.7959067225456238,0.8403528332710266,0.4221839904785156,0.8764404058456421,0.8281213641166687,0.4771873354911804
0.7926130294799805,0.8368552327156067,0.4326666593551636,0.8743829131126404,0.8232651352882385,0.4751029312610626
0.79494309425354,0.8392394185066223,0.42523902654647827,0.8735357522964478,0.8321393728256226,0.47656768560409546
0.7949923276901245,0.8391766548156738,0.4256989359855652,0.8782574534416199,0.8323370814323425,0.4693900942802429
0.7955763936042786,0.8386661410331726,0.42530110478401184,0.8757196068763733,0.8285528421401978,0.47436943650245667
0.796342134475708,0.840689480304718,0.420495867729187,0.8724969625473022,0.8312435746192932,0.4789700210094452
